                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3688,                0.94944,                 1.5212,                0.93598,                0.96846,                0.98469,                0.67598,                 1.0534,                0.88057,                 1.4078,              0.0011224,              0.0011224,              0.0011224
                     36,                 1.3585,                0.93997,                 1.4983,                0.93891,                0.95585,                0.98535,                0.69061,                0.98892,                0.76672,                 1.3713,              0.0011059,              0.0011059,              0.0011059
                     37,                  1.361,                0.93308,                 1.5429,                 0.9512,                0.98003,                0.98163,                0.66566,                 1.0578,                0.82827,                 1.4111,              0.0010894,              0.0010894,              0.0010894
                     38,                 1.3642,                 0.8984,                 1.5324,                0.94963,                0.97612,                0.97606,                 0.6545,                 1.0169,                0.82841,                 1.3694,              0.0010729,              0.0010729,              0.0010729
                     39,                 1.3309,                0.92136,                  1.523,                0.96878,                0.97875,                0.98565,                  0.664,                 0.9977,                0.82793,                 1.3809,              0.0010564,              0.0010564,              0.0010564
                     40,                 1.2919,                0.86282,                  1.435,                0.94565,                0.94312,                0.98731,                0.70343,                0.95112,                0.89539,                 1.3334,              0.0010399,              0.0010399,              0.0010399
                     41,                 1.3248,                0.86295,                 1.4436,                 0.9586,                0.95304,                 0.9864,                0.67686,                 1.0155,                 0.7831,                 1.3685,              0.0010234,              0.0010234,              0.0010234
                     42,                 1.3698,                0.86555,                 1.5114,                0.94871,                0.96489,                0.98158,                0.65712,                 1.0675,                 0.7427,                 1.4007,              0.0010069,              0.0010069,              0.0010069
                     43,                 1.2465,                0.82426,                 1.4784,                0.93783,                  0.976,                0.97861,                0.68372,                 0.9954,                0.75705,                  1.321,             0.00099036,             0.00099036,             0.00099036
                     44,                  1.293,                0.83953,                 1.4799,                0.95934,                0.96023,                0.98848,                0.70205,                  1.008,                0.70983,                 1.3607,             0.00097386,             0.00097386,             0.00097386
                     45,                 1.2894,                0.86635,                  1.539,                0.95627,                0.93605,                 0.9806,                0.68577,                0.99532,                0.80386,                 1.3518,             0.00095736,             0.00095736,             0.00095736
                     46,                 1.2782,                0.84763,                 1.4871,                0.94829,                0.98876,                 0.9817,                0.67743,                 1.0426,                0.72215,                 1.3818,             0.00094085,             0.00094085,             0.00094085
                     47,                 1.2584,                0.79272,                  1.458,                0.96349,                0.96966,                0.98775,                0.70289,                0.98577,                0.67574,                 1.3241,             0.00092435,             0.00092435,             0.00092435
                     48,                 1.3235,                0.82969,                 1.4933,                0.96221,                 0.9884,                0.98975,                0.67428,                 1.1075,                 0.7317,                 1.4133,             0.00090785,             0.00090785,             0.00090785
                     49,                 1.2955,                0.82235,                 1.4758,                0.93579,                 0.9734,                0.98653,                0.68844,                 1.0607,                0.71698,                 1.3668,             0.00089134,             0.00089134,             0.00089134
                     50,                 1.2997,                0.80206,                 1.4582,                0.95693,                0.97748,                0.99004,                0.72784,                0.93878,                 0.6442,                 1.3003,             0.00087484,             0.00087484,             0.00087484
                     51,                 1.3072,                0.75897,                 1.3961,                0.96148,                0.97985,                0.99118,                0.70762,                 1.0462,                0.69566,                 1.3628,             0.00085834,             0.00085834,             0.00085834
                     52,                 1.2296,                0.76357,                 1.4328,                0.98695,                0.91705,                0.98306,                0.70795,                0.95732,                0.68313,                  1.284,             0.00084184,             0.00084184,             0.00084184
                     53,                 1.2477,                0.75926,                  1.413,                0.97105,                0.98199,                0.98586,                0.67569,                 1.0332,                0.71643,                 1.3734,             0.00082533,             0.00082533,             0.00082533
                     54,                 1.2302,                0.74174,                 1.4032,                0.97654,                0.98476,                0.99114,                0.71156,                0.95308,                0.62675,                 1.3101,             0.00080883,             0.00080883,             0.00080883
                     55,                 1.2297,                 0.7387,                 1.4065,                0.96806,                0.95825,                0.98908,                0.71771,                0.93626,                0.60401,                  1.309,             0.00079233,             0.00079233,             0.00079233
                     56,                 1.2391,                0.77967,                 1.4508,                0.96107,                 0.9952,                0.98893,                0.71766,                0.92746,                0.63904,                  1.267,             0.00077582,             0.00077582,             0.00077582
                     57,                 1.3081,                0.76217,                 1.4161,                0.95454,                0.97158,                0.98361,                 0.6294,                 1.1546,                0.66284,                 1.4626,             0.00075932,             0.00075932,             0.00075932
                     58,                 1.3263,                0.79003,                 1.4844,                 0.9507,                0.98616,                0.98814,                0.66252,                 1.1713,                0.67446,                 1.3954,             0.00074282,             0.00074282,             0.00074282
                     59,                 1.2398,                0.74042,                 1.4059,                0.96103,                0.97677,                0.99029,                0.71908,                 0.9626,                0.58271,                 1.3278,             0.00072631,             0.00072631,             0.00072631
                     60,                 1.1962,                0.71547,                 1.3971,                0.95968,                0.98355,                0.98987,                0.70462,                 1.0221,                0.60775,                 1.3119,             0.00070981,             0.00070981,             0.00070981
                     61,                 1.2216,                0.72901,                 1.3703,                0.96345,                0.99526,                0.99129,                0.72537,                0.91338,                0.59874,                 1.2577,             0.00069331,             0.00069331,             0.00069331
                     62,                 1.2576,                0.72801,                 1.3811,                0.97008,                0.98826,                 0.9898,                0.69984,                0.97392,                0.59521,                 1.2842,              0.0006768,              0.0006768,              0.0006768
                     63,                 1.1673,                0.69521,                 1.3702,                0.98136,                0.99057,                0.99136,                0.73063,                0.88448,                 0.5594,                 1.2336,              0.0006603,              0.0006603,              0.0006603
