                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                   1.55,                 1.0259,                 1.6727,                0.97647,                0.98801,                0.99094,                 0.6006,                 1.3369,                 1.0951,                 1.6634,             0.00061079,             0.00061079,             0.00061079
                     35,                 1.5664,                 1.0524,                 1.7042,                0.97353,                0.97022,                0.99059,                0.57846,                 1.3552,                 1.2904,                 1.7168,             0.00057778,             0.00057778,             0.00057778
                     36,                 1.6165,                 1.0534,                 1.6892,                0.94305,                0.94724,                 0.9468,                0.47188,                 1.4345,                 1.1028,                  1.695,             0.00054478,             0.00054478,             0.00054478
                     37,                 1.5955,                 1.0734,                 1.7312,                0.97838,                0.96643,                 0.9861,                0.59569,                 1.2904,                 1.0252,                 1.6301,             0.00051177,             0.00051177,             0.00051177
                     38,                  1.556,                 1.0092,                 1.6394,                0.98478,                0.98321,                0.99232,                0.61445,                 1.2745,                 0.9963,                 1.6576,             0.00047876,             0.00047876,             0.00047876
                     39,                 1.5559,                 1.0315,                 1.6902,                0.97597,                0.97122,                 0.9895,                0.57385,                 1.3022,                 1.0334,                 1.6478,             0.00044576,             0.00044576,             0.00044576
                     40,                 1.5501,                 1.0685,                 1.7566,                0.97047,                0.96643,                0.98834,                0.59873,                 1.2864,                 1.0472,                 1.6398,             0.00041275,             0.00041275,             0.00041275
                     41,                 1.3573,                  1.167,                 1.6675,                0.97403,                0.98929,                0.99147,                0.61547,                 1.2897,                 1.0803,                 1.6605,             0.00037974,             0.00037974,             0.00037974
                     42,                 1.4185,                 1.1032,                 1.6527,                0.96693,                0.98321,                 0.9872,                0.61998,                 1.2066,                 1.1277,                 1.5757,             0.00034674,             0.00034674,             0.00034674
                     43,                  1.284,                 1.0678,                 1.5049,                0.96169,                0.96643,                0.97667,                0.57451,                 1.2142,                 1.1336,                 1.5601,             0.00031373,             0.00031373,             0.00031373
                     44,                 1.4061,                 1.0712,                 1.5899,                0.96641,                0.95444,                  0.974,                0.57204,                 1.2569,                  1.082,                 1.5856,             0.00028072,             0.00028072,             0.00028072
                     45,                 1.3365,                 1.0256,                 1.6027,                0.96604,                0.95513,                0.98453,                0.61636,                 1.2027,                 1.0542,                 1.5734,             0.00024772,             0.00024772,             0.00024772
                     46,                 1.3611,                 1.0266,                  1.591,                0.97818,                0.94964,                0.98868,                 0.6273,                 1.1845,                 1.0252,                 1.5371,             0.00021471,             0.00021471,             0.00021471
                     47,                  1.322,                0.95147,                  1.478,                0.98852,                0.98321,                 0.9923,                0.64543,                 1.1491,                0.96402,                 1.4908,              0.0001817,              0.0001817,              0.0001817
                     48,                 1.2263,                 1.0182,                 1.5299,                0.98929,                0.98321,                0.99112,                 0.6569,                 1.1418,                0.92874,                 1.4882,              0.0001487,              0.0001487,              0.0001487
                     49,                 1.2977,                0.96008,                 1.5102,                0.99274,                0.98434,                0.99248,                0.66445,                 1.1356,                0.91472,                 1.4777,             0.00011569,             0.00011569,             0.00011569
                     50,                 1.3199,                0.98804,                 1.5469,                0.99129,                0.98321,                0.99254,                0.67149,                 1.1207,                0.89817,                 1.4678,             8.2683e-05,             8.2683e-05,             8.2683e-05
